1491816388.16,46.1,100,0,0
1491816389.11,46.1,100,0,0
1491816390.07,46.1,100,0,0
1491816391.03,46.0,100,0,0
1491816391.98,46.0,100,0,0
1491816393.03,46.1,100,0,0
1491816393.98,46.8,100,0,0
1491816394.93,47.4,100,0,0
1491816395.89,48.2,100,0,0
1491816396.85,49.0,50,0,0
1491816397.81,49.9,50,0,0
1491816398.87,50.7,25,0,0
1491816399.93,51.7,25,0,0
1491816400.99,52.7,0,0,0
1491816401.93,53.6,0,0,0
1491816402.93,54.3,0,0,0
1491816404.0,55.0,0,0,0
1491816404.94,55.7,0,0,0
1491816405.9,56.5,0,0,0
1491816406.86,57.1,0,0,0
1491816407.82,57.6,0,0,0
1491816408.89,58.1,0,0,0
1491816409.83,58.9,0,0,0
1491816410.79,59.3,0,0,0
1491816411.75,59.8,0,0,0
1491816412.71,60.2,0,1,0
1491816413.78,60.6,0,1,0
1491816414.72,61.0,0,1,0
1491816415.68,61.4,0,1,0
1491816416.64,61.8,0,1,0
1491816417.6,61.9,0,1,0
1491816418.67,62.1,0,1,0
1491816419.61,62.2,0,1,0
1491816420.57,61.9,0,1,0
1491816421.53,61.9,0,1,0
1491816422.49,61.4,0,1,0
1491816423.56,61.0,0,1,0
1491816424.61,60.8,0,1,0
1491816425.66,60.5,0,1,0
1491816426.61,60.1,0,1,0
1491816427.57,59.8,25,1,0
1491816428.65,59.4,25,1,0
1491816429.58,59.0,25,1,0
1491816430.54,58.5,50,1,0
1491816431.5,58.1,50,1,0
1491816432.46,57.9,75,1,0
1491816433.53,57.6,75,1,0
1491816434.48,57.3,75,1,0
1491816435.44,57.2,75,1,0
1491816436.4,57.3,75,1,0
1491816437.36,57.5,75,1,0
1491816438.42,57.7,75,1,0
1491816439.47,58.2,50,1,0
1491816440.41,58.9,50,1,0
1491816441.37,59.3,25,1,0
1491816442.33,59.7,25,1,0
1491816443.39,60.1,0,1,0
1491816444.44,60.4,0,1,0
1491816445.38,60.6,0,1,0
1491816446.34,61.0,0,1,0
1491816447.3,60.9,0,1,0
1491816448.36,60.9,0,1,0
1491816449.41,60.6,0,1,0
1491816450.46,60.6,0,1,0
1491816451.4,60.6,0,1,0
1491816452.36,60.6,0,1,0
1491816453.43,60.6,0,1,0
1491816454.49,60.6,0,1,0
1491816455.43,60.7,0,1,0
1491816456.39,60.9,0,1,0
1491816457.35,60.9,0,1,0
1491816458.4,60.9,0,1,0
1491816459.47,60.6,0,1,0
1491816460.4,60.5,0,1,0
1491816461.36,60.2,0,1,0
1491816462.32,59.8,25,1,0
1491816463.38,59.8,25,1,0
1491816464.33,59.7,25,1,0
1491816465.29,59.7,25,1,0
1491816466.25,59.5,25,1,0
1491816467.21,59.4,25,1,0
1491816468.27,59.4,25,1,0
1491816469.33,59.4,25,1,0
1491816470.27,59.8,25,1,0
1491816471.23,60.0,0,1,0
1491816472.19,60.2,0,1,0
1491816473.29,60.6,0,0,0
